"newacct","tcp","100","[unauthorized use]","0.002133"
"hostname","tcp","101","hostnames NIC Host Name Server | NIC Host Name Server","6.3E-5"
"hostname","udp","101","hostnames NIC Host Name Server","5.6E-4"
"iso-tsap","tcp","102","tsap ISO-TSAP Class 0 | ISO-TSAP Class 0","1.38E-4"
"iso-tsap","udp","102","tsap ISO-TSAP Class 0","5.44E-4"
"gppitnp","tcp","103","Genesis Point-to-Point Trans Net or x400 ISO Email | Genesis Point-to-Point Trans Net","3.8E-5"
"gppitnp","udp","103","Genesis Point-to-Point Trans Net","5.27E-4"
"acr-nema","tcp","104","ACR-NEMA Digital Imag. & Comm. 300","6.3E-5"
"acr-nema","udp","104","ACR-NEMA Digital Imag. & Comm. 300","6.43E-4"
"csnet-ns","tcp","105","cso | Mailbox Name Nameserver | CCSO name server protocol","0.0"
"csnet-ns","udp","105","Mailbox Name Nameserver","4.78E-4"
"pop3pw","tcp","106","3com-tsmux | Eudora compatible PW changer | 3COM-TSMUX","0.005934"
"3com-tsmux","udp","106","","5.44E-4"
"rtelnet","tcp","107","Remote Telnet | Remote Telnet Service","0.0"
"rtelnet","udp","107","Remote Telnet Service","4.78E-4"
"snagas","tcp","108","SNA Gateway Access Server","1.3E-5"
"snagas","udp","108","SNA Gateway Access Server","4.94E-4"
"pop2","tcp","109","PostOffice V.2 | Post Office Protocol - Version 2","1.88E-4"
"pop2","udp","109","PostOffice V.2","4.61E-4"
"pop3","tcp","110","PostOffice V.3 | Post Office Protocol - Version 3","0.077142"
"pop3","udp","110","PostOffice V.3","0.001104"
"rpcbind","tcp","111","sunrpc | portmapper rpcbind | SUN Remote Procedure Call","0.030034"
"rpcbind","udp","111","portmapper rpcbind","0.093988"
"mcidas","tcp","112","McIDAS Data Transmission Protocol","5.0E-5"
"mcidas","udp","112","McIDAS Data Transmission Protocol","0.002208"
"ident","tcp","113","auth | ident tap Authentication Service | Authentication Service","0.01237"
"auth","udp","113","ident tap Authentication Service","0.003031"
"audionews","tcp","114","Audio News Multicast","2.5E-5"
"audionews","udp","114","Audio News Multicast","3.62E-4"
"sftp","tcp","115","Simple File Transfer Protocol","2.5E-5"
"sftp","udp","115","Simple File Transfer Protocol","3.46E-4"
"ansanotify","tcp","116","ANSA REX Notify","1.3E-5"
"ansanotify","udp","116","ANSA REX Notify","4.45E-4"
"uucp-path","tcp","117","UUCP Path Service","1.3E-5"
"uucp-path","udp","117","UUCP Path Service","5.27E-4"
"sqlserv","tcp","118","SQL Services","2.5E-5"
"sqlserv","udp","118","SQL Services","7.91E-4"
"nntp","tcp","119","Network News Transfer Protocol","0.003262"
"nntp","udp","119","Network News Transfer Protocol","4.28E-4"
"cfdptkt","tcp","120","","2.5E-5"
"cfdptkt","udp","120","","0.010181"
"erpc","tcp","121","Encore Expedited Remote Pro.Call","0.0"
"erpc","udp","121","Encore Expedited Remote Pro.Call","6.75E-4"
"smakynet","tcp","122","","6.3E-5"
"smakynet","udp","122","","4.28E-4"
"ntp","tcp","123","Network Time Protocol","1.38E-4"
"ntp","udp","123","Network Time Protocol","0.330879"
"ansatrader","tcp","124","ANSA REX Trader","1.3E-5"
"ansatrader","udp","124","ANSA REX Trader","6.1E-4"
"locus-map","tcp","125","Locus PC-Interface Net Map Ser","1.76E-4"
"locus-map","udp","125","Locus PC-Interface Net Map Ser","4.78E-4"
"unitary","tcp","126","nxedit | Unisys Unitary Login | NXEdit","0.0"
"unitary","udp","126","Unisys Unitary Login","6.1E-4"
"locus-con","tcp","127","Locus PC-Interface Conn Server","1.13E-4"
"locus-con","udp","127","Locus PC-Interface Conn Server","4.12E-4"
"gss-xlicen","tcp","128","GSS X License Verification","1.3E-5"
"gss-xlicen","udp","128","GSS X License Verification","4.94E-4"
"pwdgen","tcp","129","Password Generator Protocol","2.5E-5"
"pwdgen","udp","129","Password Generator Protocol","4.12E-4"
"cisco-fna","tcp","130","cisco FNATIVE","1.3E-5"
"cisco-fna","udp","130","cisco FNATIVE","7.74E-4"
"cisco-tna","tcp","131","cisco TNATIVE","0.0"
"cisco-tna","udp","131","cisco TNATIVE","5.6E-4"
"cisco-sys","tcp","132","cisco SYSMAINT","1.3E-5"
"cisco-sys","udp","132","cisco SYSMAINT","9.23E-4"
"statsrv","tcp","133","Statistics Service","2.5E-5"
"statsrv","udp","133","Statistics Service","7.58E-4"
"ingres-net","tcp","134","INGRES-NET Service","0.0"
"ingres-net","udp","134","INGRES-NET Service","0.001203"
"msrpc","tcp","135","epmap | Microsoft RPC services | DCE endpoint resolution","0.047798"
"msrpc","udp","135","Microsoft RPC services","0.244452"
"profile","tcp","136","PROFILE Naming System","2.5E-5"
"profile","udp","136","PROFILE Naming System","0.051862"
"netbios-ns","tcp","137","NETBIOS Name Service","3.8E-5"
"netbios-ns","udp","137","NETBIOS Name Service","0.365163"
"netbios-dgm","tcp","138","NETBIOS Datagram Service","2.5E-5"
"netbios-dgm","udp","138","NETBIOS Datagram Service","0.29783"
"netbios-ssn","tcp","139","NETBIOS Session Service","0.050809"
"netbios-ssn","udp","139","NETBIOS Session Service","0.193726"
"emfis-data","tcp","140","EMFIS Data Service","0.0"
"emfis-data","udp","140","EMFIS Data Service","6.92E-4"
"emfis-cntl","tcp","141","EMFIS Control Service","1.3E-5"
"emfis-cntl","udp","141","EMFIS Control Service","4.28E-4"
"bl-idm","tcp","142","Britton-Lee IDM","1.3E-5"
"bl-idm","udp","142","Britton-Lee IDM","4.28E-4"
"imap","tcp","143","Interim Mail Access Protocol v2 | Internet Message Access Protocol","0.05042"
"imap","udp","143","Interim Mail Access Protocol v2","6.59E-4"
"news","tcp","144","uma | NewS window system | Universal Management Architecture","0.004981"
"news","udp","144","NewS window system","3.46E-4"
"uaac","tcp","145","UAAC Protocol","0.0"
"uaac","udp","145","UAAC Protocol","0.001153"
"iso-tp0","tcp","146","ISO-IP0","5.77E-4"
"iso-tp0","udp","146","","8.9E-4"
"iso-ip","tcp","147","","0.0"
"iso-ip","udp","147","","5.11E-4"
"cronus","tcp","148","jargon | CRONUS-SUPPORT | Jargon","1.3E-5"
"cronus","udp","148","CRONUS-SUPPORT","4.45E-4"
"aed-512","tcp","149","AED 512 Emulation Service","1.3E-5"
"aed-512","udp","149","AED 512 Emulation Service","4.45E-4"
"sql-net","tcp","150","","1.3E-5"
"sql-net","udp","150","","8.4E-4"
"hems","tcp","151","","1.3E-5"
"hems","udp","151","","4.12E-4"
"bftp","tcp","152","Background File Transfer Program","0.0"
"bftp","udp","152","Background File Transfer Program","9.88E-4"
"sgmp","tcp","153","","0.0"
"sgmp","udp","153","","3.46E-4"
"netsc-prod","tcp","154","NETSC","0.0"
"netsc-prod","udp","154","","3.79E-4"
"netsc-dev","tcp","155","NETSC","0.0"
"netsc-dev","udp","155","","6.59E-4"
"sqlsrv","tcp","156","SQL Service","0.0"
"sqlsrv","udp","156","SQL Service","4.61E-4"
"knet-cmp","tcp","157","KNET/VM Command/Message Protocol","1.13E-4"
"knet-cmp","udp","157","KNET/VM Command/Message Protocol","2.47E-4"
"pcmail-srv","tcp","158","PCMail Server","6.3E-5"
"pcmail-srv","udp","158","PCMail Server","0.010148"
"nss-routing","tcp","159","","0.0"
"nss-routing","udp","159","","3.29E-4"
"sgmp-traps","tcp","160","","0.0"
"sgmp-traps","udp","160","","8.24E-4"
"snmp","tcp","161","","7.9E-4"
"snmp","udp","161","Simple Net Mgmt Proto","0.433467"
"snmptrap","tcp","162","snmp-trap","1.3E-5"
"snmptrap","udp","162","snmp-trap","0.103346"
"cmip-man","tcp","163","CMIP/TCP Manager","5.9E-4"
"cmip-man","udp","163","CMIP/TCP Manager","8.4E-4"
"cmip-agent","tcp","164","CMIP/TCP Agent","0.0"
"smip-agent","udp","164","CMIP/TCP Agent","6.26E-4"
"xns-courier","tcp","165","Xerox","0.0"
"xns-courier","udp","165","Xerox","3.79E-4"
"s-net","tcp","166","Sirius Systems","0.0"
"s-net","udp","166","Sirius Systems","4.61E-4"
"namp","tcp","167","","0.0"
"namp","udp","167","","3.95E-4"
"rsvd","tcp","168","","1.3E-5"
"rsvd","udp","168","","4.12E-4"
"send","tcp","169","","0.0"
"send","udp","169","","4.94E-4"
"print-srv","tcp","170","Network PostScript","0.0"
"print-srv","udp","170","Network PostScript","0.001071"
"multiplex","tcp","171","Network Innovations Multiplex","0.0"
"multiplex","udp","171","Network Innovations Multiplex","4.12E-4"
"cl-1","tcp","172","cl/1 | Network Innovations CL/1","0.0"
"cl-1","udp","172","Network Innovations CL/1","4.94E-4"
"xyplex-mux","tcp","173","Xyplex","1.3E-5"
"xyplex-mux","udp","173","","3.29E-4"
"mailq","tcp","174","","1.3E-5"
"mailq","udp","174","","3.79E-4"
"vmnet","tcp","175","","0.0"
"vmnet","udp","175","","3.79E-4"
"genrad-mux","tcp","176","","2.5E-5"
"genrad-mux","udp","176","","3.13E-4"
"xdmcp","tcp","177","X Display Mgr. Control Proto | X Display Manager Control Protocol","2.5E-5"
"xdmcp","udp","177","X Display Manager Control Protocol","0.018551"
"nextstep","tcp","178","NextStep Window Server","0.0"
"nextstep","udp","178","NextStep Window Server","3.46E-4"
"bgp","sctp","179","Border Gateway Protocol","0.0"
"bgp","tcp","179","Border Gateway Protocol","0.010538"
"bgp","udp","179","Border Gateway Protocol","4.94E-4"
"ris","tcp","180","Intergraph","3.8E-5"
"ris","udp","180","Intergraph","4.78E-4"
"unify","tcp","181","","2.5E-5"
"unify","udp","181","","1.81E-4"
"audit","tcp","182","Unisys Audit SITP","3.8E-5"
"audit","udp","182","Unisys Audit SITP","2.97E-4"
"ocbinder","tcp","183","","0.0"
"ocbinder","udp","183","","5.6E-4"
"ocserver","tcp","184","","1.3E-5"
"ocserver","udp","184","","4.61E-4"
"remote-kis","tcp","185","","1.3E-5"
"remote-kis","udp","185","","4.28E-4"
"kis","tcp","186","KIS Protocol","0.0"
"kis","udp","186","KIS Protocol","2.8E-4"
"aci","tcp","187","Application Communication Interface","0.0"
"aci","udp","187","Application Communication Interface","3.95E-4"
